# Exposure 1: duration 900s, RA: 129.04999999999998, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
42028174841766352      1   -6.07408    5.50567  129.03276    1.38060
42028174841764844      2  -14.82176    1.37999  129.04578    1.35331
20040406364      3   -6.90921   -4.05329  129.06267    1.37811
20040392499      4  -13.89073   -7.93355  129.07489    1.35633
42028174841765977      5   -7.94668  -13.58584  129.09250    1.37498
3078557309946808960      6  -13.27289  -15.91923  129.09985    1.35837
20040409356      7   -7.33105  -20.29592  129.11347    1.37699
20040400976      8  -13.44879  -23.83217  129.12459    1.35792
3078650493556446464     11   -7.20818  -35.17474  129.15995    1.37757
42028037402809603     12  -13.96904  -40.82657  129.17766    1.35652
42028037402793122     14  -16.37430  -47.81189  129.19947    1.34911
3078650356117489792     15   -8.84816  -50.95182  129.20917    1.37265
20040418543     16  -13.20741  -55.93878  129.22475    1.35911
42028037402794405     17   -5.25368  -57.04023  129.22810    1.38395
20040402921     18  -14.23326  -64.15734  129.25033    1.35603
42028037402810781     19   -5.66316  -72.42080  129.27591    1.38288
20040411498     20  -14.15643  -72.23247  129.27542    1.35639
42028037402811049     21   -3.43224  -77.15258  129.29057    1.38989
3078638609383628928     22  -14.92690  -78.63967  129.29530    1.35409
42028037402810612     23   -7.03757  -84.59060  129.31365    1.37875
3078637917892189696     24  -16.30308  -89.22704  129.32808    1.34997
42028037402794026     25   -8.81632  -91.39659  129.33472    1.37331
20040387787     27   -7.03918 -100.26033  129.36206    1.37896
42027899963839473     28  -17.54694 -101.30070  129.36536    1.34630
42027899963857456     29   -7.22566 -110.97460  129.39504    1.37853
42027899963856728     30  -13.11574 -110.34066  129.39315    1.36022
3078639326641477504     31   -7.00970 -116.32561  129.41147    1.37928
42027899963856590     32  -14.69986 -121.24212  129.42660    1.35548
42027899963839442     90  -17.86618 -118.02194  129.41675    1.34560
3078636715301362304     33   -6.61847 -126.75481  129.44340    1.38064
20040420755     34  -14.19189 -128.85121  129.44986    1.35718
3078636509142927104     35   -9.53939 -131.43057  129.45770    1.37165
3078636444720120576     36  -13.12427 -136.53437  129.47327    1.36062
3078636612222146944     37   -6.94875 -139.71365  129.48289    1.37980
3078635787588418048     38  -12.00511 -142.77196  129.49222    1.36419
3078642457673448192     39   -6.28378 -147.31888  129.50597    1.38197
42027899963840204     40  -11.62845 -152.77914  129.52253    1.36552
42027899963840475     41   -9.17865 -153.89904  129.52589    1.37311
42027899963856158     42  -18.06392 -159.18953  129.54189    1.34576
20040407978     43   -6.97283 -163.51818  129.55485    1.38007
20040402638     44  -14.00337 -168.74017  129.57056    1.35847
42027762524904617     45   -9.22103 -171.56669  129.57900    1.37326
3078453753990055168     46  -16.48499 -177.31563  129.59620    1.35100
3078453577897061376     48  -16.44072 -183.38719  129.61426    1.35126
42027762524904908     49   -6.86562 -187.54445  129.62655    1.38076
42033260083042586     51   -6.68967 -196.98747  129.65443    1.38144
42033260083042004     52  -11.57970 -200.87236  129.66587    1.36652
20042515867     53   -7.07074 -203.69640  129.67412    1.38038
42033260083026195   2281   -3.07910 -203.01667  129.67210    1.39259
42033260083041210     54  -17.70693 -209.74096  129.69181    1.34795
3078454716063575552     55   -9.52968 -211.90331  129.69809    1.37299
42033122644091779     57   -8.09050 -219.30963  129.71957    1.37751
20040417005     58  -20.28847   11.90833  129.01293    1.33610
42028174841763002     59  -25.81778    8.27822  129.02435    1.31887
42028174841764060     60  -19.42445    4.54072  129.03595    1.33889
42028174841745817     61  -25.61702    0.50169  129.04866    1.31959
42028174841746261     62  -22.10744   -6.54951  129.07066    1.33064
42028174841745322     63  -29.39296   -7.80307  129.07467    1.30790
42028174841763598     64  -22.62739  -11.95245  129.08756    1.32909
42028174841762924     65  -26.86902  -17.59214  129.10524    1.31591
42028174841763731     66  -21.81567  -20.08382  129.11297    1.33173
20040421340     67  -28.18576  -24.15771  129.12577    1.31189
42028174841764173     68  -18.78162  -26.05850  129.13161    1.34129
42028174841762316     69  -29.76999  -30.81336  129.14657    1.30705
20040399450     70  -20.88233  -36.26544  129.16350    1.33487
42028037402807992     71  -25.61940  -39.09040  129.17236    1.32012
42028037402808551     72  -21.55242  -46.44734  129.19526    1.33293
42028037402807839     73  -27.26278  -47.29969  129.19797    1.31512
20040396067     74  -20.34432  -51.46250  129.21088    1.33678
42028037402807726     75  -27.91635  -57.39777  129.22942    1.31325
42028037402808642     76  -21.00456  -58.81587  129.23378    1.33483
42028037402808094     77  -24.82830  -63.15537  129.24731    1.32298
20040425475     78  -20.47365  -68.65615  129.26437    1.33664
42028037402791812     79  -27.32452  -71.08355  129.27195    1.31533
42028037402808967     80  -18.43815  -77.93763  129.29315    1.34313
